"Created-At","From-User","From-User-Id","To-User","To-User-Id","Language","Source","Text","Geo-Location-Latitude","Geo-Location-Longitude","Retweet-Count","Id"
6/12/23 7:51 AM,"? KYLR?ACAB","1001235746047475712","LiegeOf","1001235746047475712","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","@AnarchoMugwump @Phlegmbuoy e.g. the AnSyn vs Pure Anarchism scene drama w.r.t. FULLCOMMUNISM: Japanese anarchists loved Conquest Of Bread in 1909, but many also extended/corrected it more than European anarchists did (whether b/c material conditions or cultural situation or arbitrary happenstance or w/e)",,,0.0,"1668043266413953024"
6/11/23 1:47 PM,"Maxiejacobson","1628242393592995840",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","My pitch for the Jon Snow show is that it should follow the same format as Game of Thrones. It should be a gritty and realistic drama set in a time of war and conquest. https://t.co/CqOCnPWY1q",,,0.0,"1667770493246603266"
6/10/23 5:32 PM,"CHOCO | I'm cooking","1428371939022696451",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","Looks like ConQuest drama has died out. What am I going to read now? Actual news? https://t.co/Y9pSW1lXP4",,,0.0,"1667464833917423616"
6/8/23 4:47 PM,"Marie Gonzalez","2234091931",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @defragmentise: so much con drama. conquest, we art, komiket

am I missing others? 

???????",,,8.0,"1666728692448641026"
6/8/23 2:27 PM,"Eliza ??? MET SHOTO!!!","1265687095143567360",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @Yasdeeztria: SHOTO IS HOME WITH THE MILK! I HAVE A LOT TO TALK ABOUT

? : So I’m going to be going live in about 4 hours to talk about…",,,25.0,"1666693516565815301"
6/8/23 2:25 PM,"Victoria (?????)","73326207",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @defragmentise: so much con drama. conquest, we art, komiket

am I missing others? 

???????",,,8.0,"1666692820437180416"
6/8/23 8:52 AM,"busya?","1605993224966922240",,"-1","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","RT @ratedshiera: if we get a conquest adaptation they’re gonna make rhaenys and visenya fight over aegon all season to add “nuance” and “dr…",,,6.0,"1666609180646559745"
6/8/23 8:40 AM,"eddie Mother of Dragons #Lucemondtruther??","1069262214652207110",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @ratedshiera: if we get a conquest adaptation they’re gonna make rhaenys and visenya fight over aegon all season to add “nuance” and “dr…",,,6.0,"1666606145841111040"
6/8/23 8:30 AM,"pao ?","603272464",,"-1","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","RT @ratedshiera: if we get a conquest adaptation they’re gonna make rhaenys and visenya fight over aegon all season to add “nuance” and “dr…",,,6.0,"1666603585394597894"
6/8/23 7:46 AM,"roxy || #EXO_EXIST || saw 3/9","1374374584774926338",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @defragmentise: so much con drama. conquest, we art, komiket

am I missing others? 

???????",,,8.0,"1666592560138313728"
6/8/23 5:41 AM,"venus ? realm’s delight","1491890072035201024",,"-1","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","if we get a conquest adaptation they’re gonna make rhaenys and visenya fight over aegon all season to add “nuance” and “drama” ? https://t.co/tpAtGJ9HMV",,,6.0,"1666561136106303488"
6/7/23 11:39 PM,"Andrei Popescu","967321140199919616",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","RT @zero2_p: @iamfatetouched @bio_deathisland Omggg,l feel so incredibly excited and hyped up to be watching this surreal masterpieces of a…",,,1.0,"1666469930806435841"
6/7/23 11:39 PM,"Andrei Popescu","967321140199919616","iamfatetouched","778121944390565888","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","@iamfatetouched @bio_deathisland Omggg,l feel so incredibly excited and hyped up to be watching this surreal masterpieces of a movie with our most beloved comfort characters from the RE universe,as l have been loving Chris and Leon s conquest against Glenn Aries in RE Vendetta and also the drama in Degeneration https://t.co/SC78Bry4L4",,,1.0,"1666469920475947008"
6/7/23 8:57 PM,"ChromeBread","86028867",,"-1","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","Check out I’M HOME! TALKING ABOUT CONQUEST & PHILIPPINES TRIP! TWITCH DRAMA UPDATES & MOVING FORWARD https://t.co/yybiJXQbLS

ADOOOOOOO",,,0.0,"1666429286981713922"
6/7/23 8:53 PM,"???????????","1613751830525382658",,"-1","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","?? I’M HOME! TALKING ABOUT CONQUEST & PHILIPPINES TRIP! TWITCH DRAMA UPDATES & MOVING FORWARD https://t.co/DUfJrQI7qK",,,0.0,"1666428153055821824"
6/7/23 8:36 PM,"Tanveer Awan","88381335",,"-1","en","<a href='http://www.linkedin.com/' rel='nofollow'>LinkedIn</a>","https://t.co/gBlTOdzWUI
Turkish Drama, Barbaros, barbaroslar, Oruç Reis, pirates, Mediterranean Sea, Spanish fleet, battle, conquest, historical drama, action-packed adventure, stunning cinematography, epic battle scenes, unforgettable performances
#barba…https://t.co/ErhQdRBpPj",,,0.0,"1666423987440697345"
6/7/23 8:01 PM,"nams / chuna @ BLushcon C1","3087494311",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","so much con drama. conquest, we art, komiket

am I missing others? 

???????",,,8.0,"1666415145076269056"
6/7/23 7:56 PM,"an orange ??????","1416965144135933952",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","RT @Yasdeeztria: SHOTO IS HOME WITH THE MILK! I HAVE A LOT TO TALK ABOUT

? : So I’m going to be going live in about 4 hours to talk about…",,,25.0,"1666413712578871299"
6/7/23 7:29 PM,"calix","1451536788170833920",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @Yasdeeztria: SHOTO IS HOME WITH THE MILK! I HAVE A LOT TO TALK ABOUT

? : So I’m going to be going live in about 4 hours to talk about…",,,25.0,"1666406933958635522"
6/7/23 7:19 PM,"gabi","1208783144909864960",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","RT @Yasdeeztria: SHOTO IS HOME WITH THE MILK! I HAVE A LOT TO TALK ABOUT

? : So I’m going to be going live in about 4 hours to talk about…",,,25.0,"1666404488893313025"
